index	id	labels	clickables	status
1	home	8	14	ok
2	pi_connect_wallet	9	17	ok
3	connect_okx	4	12	ok
4	connect_bitget	4	12	ok
5	connect_metamask	4	12	ok
6	connect_rabby	4	12	ok
7	connect_tokenpocket	4	12	ok
8	web3_okx_mnemonic	9	14	ok
9	web3_okx_satochip	8	18	ok
10	web3_bitget_mnemonic	9	14	ok
11	web3_bitget_satochip	8	18	ok
12	web3_metamask_mnemonic	9	14	ok
13	web3_metamask_satochip	8	18	ok
14	web3_rabby_mnemonic	9	14	ok
15	web3_rabby_satochip	8	18	ok
16	web3_tokenpocket_mnemonic	9	14	ok
17	web3_tokenpocket_satochip	8	18	ok
18	btc_wallet	4	12	ok
19	btc_mnemonic	6	15	ok
20	btc_satochip	6	15	ok
21	btc_bluewallet_zpub	7	16	ok
22	btc_bluewallet_xpub	7	16	ok
23	btc_satochip_zpub	10	19	ok
24	btc_satochip_xpub	10	19	ok
25	custom_derivation	15	16	ok
26	pi_mnemonic_tools	8	16	ok
27	mnemonic_write_smartcard	4	12	ok
28	smartcard_tools	4	12	ok
29	smartcard_satochip_tools	9	17	ok
30	smartcard_satochip_write_mnemonic	10	18	ok
31	smartcard_satochip_maint	13	22	ok
32	smartcard_satochip_advanced_tools	7	16	ok
33	smartcard_satochip_pubkey_tools	8	17	ok
34	smartcard_satochip_2fa_tools	6	15	ok
35	smartcard_satochip_session_tools	5	14	ok
36	smartcard_satochip_seedkeeper_tools	17	25	ok
37	smartcard_satochip_certificate_tools	6	15	ok
38	smartcard_satochip_change_pin	13	20	ok
39	smartcard_satochip_unblock_pin	9	18	ok
40	smartcard_satochip_set_label	11	19	ok
41	smartcard_satochip_nfc_policy	11	19	ok
42	smartcard_satochip_feature_policy	13	20	ok
43	smartcard_satochip_reset_seed	12	19	ok
44	smartcard_satochip_reset_factory	11	18	ok
45	smartcard_satochip_authenticity	8	16	ok
46	smartcard_satochip_setup_pin	11	19	ok
47	smartcard_satochip_export_authentikey	8	16	ok
48	smartcard_satochip_import_ndef_authentikey	9	18	ok
49	smartcard_satochip_import_trusted_pubkey	9	18	ok
50	smartcard_satochip_export_trusted_pubkey	8	16	ok
51	smartcard_satochip_set_2fa_key	11	19	ok
52	smartcard_satochip_reset_2fa_key	9	18	ok
53	smartcard_satochip_logout_all	8	16	ok
54	smartcard_seedkeeper_status_page	9	18	ok
55	smartcard_seedkeeper_free_space	9	18	ok
56	smartcard_seedkeeper_list_page	9	18	ok
57	smartcard_seedkeeper_advanced_tools	8	17	ok
58	smartcard_seedkeeper_setup_pin	11	19	ok
59	smartcard_seedkeeper_create_mnemonic	13	20	ok
60	smartcard_seedkeeper_write_mnemonic	13	20	ok
61	smartcard_seedkeeper_view_mnemonic	7	17	ok
62	smartcard_seedkeeper_load_mnemonic	7	17	ok
63	smartcard_seedkeeper_save_password	13	20	ok
64	smartcard_seedkeeper_load_descriptor	11	19	ok
65	smartcard_seedkeeper_save_descriptor	13	20	ok
66	smartcard_seedkeeper_clone	13	20	ok
67	smartcard_seedkeeper_change_pin	13	20	ok
68	smartcard_seedkeeper_reset	15	20	ok
69	smartcard_seedkeeper_generate_masterseed	13	20	ok
70	smartcard_seedkeeper_generate_2fa_secret	11	19	ok
71	smartcard_seedkeeper_derive_master_password	13	20	ok
72	smartcard_seedkeeper_reset_secret	11	19	ok
73	new_seedkeeper_create_mnemonic	13	20	ok
74	load_seedkeeper_mnemonic	7	17	ok
75	smartcard_certificate_import	9	18	ok
76	satochip_btc_pubkeys	10	19	ok
77	satochip_btc_ypub	10	19	ok
78	satochip_btc_tpub	10	19	ok
79	satochip_btc_upub	10	19	ok
80	satochip_btc_vpub	10	19	ok
81	pi_self_check	7	15	ok
82	tools	5	13	ok
83	pi_features	5	13	ok
84	settings	8	16	ok
85	about	8	15	ok
86	boot_login	6	14	ok
87	login_pin	6	15	ok
88	login_passphrase	5	15	ok
89	login_encrypted_backup	6	15	ok
90	login_clear_session	6	15	ok
91	load_mnemonic	10	18	ok
