index	id	scrollable	bottom_before	bottom_after	bottom_filename	status
1	home	yes	26	0	01_home_bottom.bmp	ok
2	pi_connect_wallet	yes	26	0	02_pi_connect_wallet_bottom.bmp	ok
3	connect_okx	yes	26	0	03_connect_okx_bottom.bmp	ok
4	connect_bitget	yes	26	0	04_connect_bitget_bottom.bmp	ok
5	connect_metamask	yes	26	0	05_connect_metamask_bottom.bmp	ok
6	connect_rabby	yes	26	0	06_connect_rabby_bottom.bmp	ok
7	connect_tokenpocket	yes	26	0	07_connect_tokenpocket_bottom.bmp	ok
8	connect_imtoken	yes	26	0	08_connect_imtoken_bottom.bmp	ok
9	web3_okx_mnemonic	yes	26	0	09_web3_okx_mnemonic_bottom.bmp	ok
10	web3_okx_satochip	yes	26	0	10_web3_okx_satochip_bottom.bmp	ok
11	web3_bitget_mnemonic	yes	26	0	11_web3_bitget_mnemonic_bottom.bmp	ok
12	web3_bitget_satochip	yes	26	0	12_web3_bitget_satochip_bottom.bmp	ok
13	web3_metamask_mnemonic	yes	26	0	13_web3_metamask_mnemonic_bottom.bmp	ok
14	web3_metamask_satochip	yes	26	0	14_web3_metamask_satochip_bottom.bmp	ok
15	web3_rabby_mnemonic	yes	26	0	15_web3_rabby_mnemonic_bottom.bmp	ok
16	web3_rabby_satochip	yes	26	0	16_web3_rabby_satochip_bottom.bmp	ok
17	web3_tokenpocket_mnemonic	yes	26	0	17_web3_tokenpocket_mnemonic_bottom.bmp	ok
18	web3_tokenpocket_satochip	yes	26	0	18_web3_tokenpocket_satochip_bottom.bmp	ok
19	web3_imtoken_mnemonic	yes	26	0	19_web3_imtoken_mnemonic_bottom.bmp	ok
20	web3_imtoken_satochip	yes	26	0	20_web3_imtoken_satochip_bottom.bmp	ok
21	btc_wallet	yes	26	0	21_btc_wallet_bottom.bmp	ok
22	btc_mnemonic	yes	26	0	22_btc_mnemonic_bottom.bmp	ok
23	btc_satochip	yes	26	0	23_btc_satochip_bottom.bmp	ok
24	btc_bluewallet_zpub	yes	26	0	24_btc_bluewallet_zpub_bottom.bmp	ok
25	btc_bluewallet_xpub	yes	26	0	25_btc_bluewallet_xpub_bottom.bmp	ok
26	btc_satochip_zpub	yes	26	0	26_btc_satochip_zpub_bottom.bmp	ok
27	btc_satochip_xpub	yes	26	0	27_btc_satochip_xpub_bottom.bmp	ok
28	custom_derivation	no	0	0		not_scrollable
29	pi_mnemonic_tools	yes	26	0	29_pi_mnemonic_tools_bottom.bmp	ok
30	mnemonic_write_smartcard	yes	26	0	30_mnemonic_write_smartcard_bottom.bmp	ok
31	smartcard_tools	yes	26	0	31_smartcard_tools_bottom.bmp	ok
32	smartcard_satochip_tools	yes	26	0	32_smartcard_satochip_tools_bottom.bmp	ok
33	smartcard_satochip_write_mnemonic	yes	26	0	33_smartcard_satochip_write_mnemonic_bottom.bmp	ok
