index	id	title	top_png	bottom_png
1	home	离线签名器	v20260521_124238_001_home_top.png	v20260521_124238_001_home_bottom.png
2	pi_connect_wallet	连接钱包	v20260521_124238_002_pi_connect_wallet_top.png	v20260521_124238_002_pi_connect_wallet_bottom.png
3	connect_okx	OKX	v20260521_124238_003_connect_okx_top.png	v20260521_124238_003_connect_okx_bottom.png
4	connect_bitget	Bitget	v20260521_124238_004_connect_bitget_top.png	v20260521_124238_004_connect_bitget_bottom.png
5	connect_metamask	MetaMask	v20260521_124238_005_connect_metamask_top.png	v20260521_124238_005_connect_metamask_bottom.png
6	connect_rabby	Rabby	v20260521_124238_006_connect_rabby_top.png	v20260521_124238_006_connect_rabby_bottom.png
7	connect_tokenpocket	TokenPocket	v20260521_124238_007_connect_tokenpocket_top.png	v20260521_124238_007_connect_tokenpocket_bottom.png
8	connect_address	地址	v20260521_124238_008_connect_address_top.png	v20260521_124238_008_connect_address_bottom.png
9	web3_okx_mnemonic	助记词	v20260521_124238_009_web3_okx_mnemonic_top.png	v20260521_124238_009_web3_okx_mnemonic_bottom.png
10	web3_okx_satochip	智能卡	v20260521_124238_010_web3_okx_satochip_top.png	v20260521_124238_010_web3_okx_satochip_bottom.png
11	web3_bitget_mnemonic	助记词	v20260521_124238_011_web3_bitget_mnemonic_top.png	v20260521_124238_011_web3_bitget_mnemonic_bottom.png
12	web3_bitget_satochip	智能卡	v20260521_124238_012_web3_bitget_satochip_top.png	v20260521_124238_012_web3_bitget_satochip_bottom.png
13	web3_metamask_mnemonic	助记词	v20260521_124238_013_web3_metamask_mnemonic_top.png	v20260521_124238_013_web3_metamask_mnemonic_bottom.png
14	web3_metamask_satochip	智能卡	v20260521_124238_014_web3_metamask_satochip_top.png	v20260521_124238_014_web3_metamask_satochip_bottom.png
15	web3_rabby_mnemonic	助记词	v20260521_124238_015_web3_rabby_mnemonic_top.png	v20260521_124238_015_web3_rabby_mnemonic_bottom.png
16	web3_rabby_satochip	智能卡	v20260521_124238_016_web3_rabby_satochip_top.png	v20260521_124238_016_web3_rabby_satochip_bottom.png
17	web3_tokenpocket_mnemonic	助记词	v20260521_124238_017_web3_tokenpocket_mnemonic_top.png	v20260521_124238_017_web3_tokenpocket_mnemonic_bottom.png
